COMMITTER,AVG_DURATION,AVG_LINES_ADDED,AVG_LINES_REMOVED,COUNT_REFACTS,COUNT_SOLVED,FILES_CHANGED,FIXED_ISSUES,INDUCED_ISSUES,COMMIT_HASH,PROJECT_ID
David Winterfeldt,0.0,25.68074306645735,4.891507064364206,0.14285714285714285,0.0,2.5142857142857142,0.0,0.0,35,1
Dean Jackson,0.0,15.384651711924441,2.4639708776072413,0.6363636363636364,0.0,6.636363636363637,0.0,0.0,11,1
Dennis Kieselhorst,0.0,9.910714285714286,2.557142857142857,0.42857142857142855,0.0,2.2142857142857144,0.0,0.0,14,1
Dennis Lundberg,0.0,5.3002311895754515,3.2100672551492226,0.0,0.0,1.5901639344262295,0.0,0.0,61,17
Derek Baum,0.0,10.276120414673047,6.151372180451127,0.6571428571428571,0.0,2.914285714285714,0.0,0.0,70,1
Dhruba Borthakur,0.0,12.922943024686788,2.608404402749696,0.0,0.0,33.588235294117645,0.0,0.0,34,1
Diana Shannon,0.0,5.333333333333333,3.3333333333333335,0.0,0.0,2.0,0.0,0.0,3,1
Dieter von Holten,0.0,11.59450021237803,8.381096854093677,0.10227272727272728,0.0,10.681818181818182,0.0,0.0,88,1
Dion Gillard,0.0,10.131526137077122,4.460085324012969,0.060798548094373864,0.0,3.2141560798548094,0.0,0.0,1102,16
Dipanjan Laha,0.0,10.833333333333334,4.083333333333333,0.0,0.0,2.5,0.0,0.0,2,1
Dirk Verbeeck,0.0,10.808147859862174,4.032259679068098,0.05172413793103448,0.0,8.548275862068966,0.0,0.0,290,17
Dmitri Plotnikov,0.0,15.62552741370914,6.576452568817504,1.5616438356164384,0.0,6.584474885844749,0.0,0.0182648401826484,219,1
Donald J. Brown,0.0,11.53240093240093,2.5665251415251418,0.09090909090909091,0.0,3.090909090909091,0.0,0.0,22,2
Duncan Jones,0.0,3.5,2.0,0.0,0.0,2.0,0.0,0.0,1,1
Edward Capriolo,0.0,13.096914864149618,2.986267051048007,0.0,0.0,9.26,0.0,0.0,50,1
Edwin L. Punzalan,0.0,16.163531488063832,3.637222969939858,0.0,0.0,4.9879518072289155,0.0,0.0,166,1
Elijah Zupancic,0.0,2.0,0.5,0.0,0.0,1.0,0.0,0.0,2,1
Emmanuel Bourg,0.0,12.658499967108767,5.573362016544999,0.525911708253359,0.0,4.4894433781190015,0.0,0.0,521,13
Emmanuel Venisse,0.0,4.645059523809524,3.0476190476190474,0.0,0.0,1.5875,0.0,0.0,80,1
Enver Haase,0.0,6.163775510204081,3.3792517006802725,0.0,0.0,1.653061224489796,0.0,0.0,49,1
Eric N. Hanson,0.0,32.37713791398913,4.205798469120269,0.0,0.0,5.470588235294118,0.0,0.0,17,1
Erik Abele,0.0,11.666666666666666,4.0,0.0,0.0,1.0666666666666667,0.0,0.0,15,2
Ernesto S. Tolentino Jr,0.0,2.0,0.5,0.0,0.0,1.0,0.0,0.0,2,1
Erwin van der Koogh,0.0,7.359141812027842,6.700750546430695,0.03333333333333333,0.0,5.816666666666666,0.0,0.0,60,1
Fabrizio Giustina,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1
Felipe Leme,0.0,6.327777777777778,0.6777777777777777,0.2222222222222222,0.0,2.7777777777777777,0.0,0.0,9,1
Felix Knecht,0.0,10.117720124849576,4.795600448365424,0.0913978494623656,0.0,10.403225806451612,0.0,0.0,186,1
Felix Meschberger,0.0,14.454580923065004,4.66784418344353,0.2744186046511628,0.0,2.634108527131783,0.0,0.0,1290,1
Filippo Diotalevi,0.0,15.357142857142858,2.5,0.0,0.0,1.4285714285714286,0.0,0.0,7,1
Flavio Junqueira (fpj),0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1
Flavio Paiva Junqueira,0.0,11.788006667681893,3.276205265927772,0.8313253012048193,0.0,4.578313253012048,0.0,0.0,83,1
Francesco Chicchiriccò,0.0,10.51553644431403,7.478427453512341,0.010752688172043012,0.0,7.075268817204301,0.0,0.0,93,1
Francesco Furfari,0.0,8.242267395534936,2.750898268398269,0.0,0.0,10.583333333333334,0.0,0.0,60,1
Francois-Xavier Bonnet,0.0,18.083175647881532,3.4448375154257507,0.7692307692307693,0.0,5.923076923076923,0.0,0.0,13,2
Freeman Yue Fang,0.0,8.671296296296298,4.101851851851852,0.1111111111111111,0.0,1.8333333333333333,0.0,0.0,18,1
Gang Tim Liu,0.0,17.310064935064936,4.293290043290043,0.0,0.0,6.285714285714286,0.0,0.0,7,1
Gary D. Gregory,0.0,6.549890990044048,3.338076456597285,0.20389805097451275,0.0,4.803298350824588,0.0,0.005997001499250375,3335,22
Gary Gregory,20185.516982097182,7.855520845639491,3.986704515118421,0.4,0.11826086956521739,4.695652173913044,0.01391304347826087,0.0,575,8
Geir Magnusson Jr,0.0,19.313164251207727,3.9299145299145297,0.1282051282051282,0.0,2.0256410256410255,0.0,0.0,78,5
Geoffrey Alexander Howard,0.0,9.290822625346435,3.2038233812043333,0.38095238095238093,0.0,2.3174603174603177,0.0,0.0,63,1
Gert Vanthienen,0.0,19.889126353689456,1.7119759779953954,5.2727272727272725,0.0,15.606060606060606,0.0,0.0,33,1
Giacomo Pati,0.0,11.662464584732714,3.708197309935362,0.10212765957446808,0.0,3.74468085106383,0.0,0.0,235,1
Gianugo Rabellino,0.0,13.230963403880072,4.122619047619048,0.08333333333333333,0.0,4.0,0.0,0.0,36,1
Giridharan Kesavan,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,1,1
GitHub,0.0,5.953488372093023,3.4444444444444446,0.0,0.0,5.666666666666667,0.0,0.0,9,1
Glenn Adams,0.0,10.954850044672488,1.7619709799831311,0.6896551724137931,0.0,96.93103448275862,0.0,0.0,58,1
Glenn L. Nielsen,0.0,15.895424836601308,9.326797385620914,0.058823529411764705,0.0,2.0,0.0,0.47058823529411764,17,1
Gopal Vijayaraghavan,0.0,13.055555555555557,4.944444444444444,0.0,0.0,4.0,0.0,0.0,3,1
Gregor Rothfuss,0.0,76.42857142857143,0.047619047619047616,0.0,0.0,21.0,0.0,0.0,1,1
Grzegorz Kossakowski,0.0,9.23027133486957,3.409404108539556,0.13256484149855907,0.0,2.8011527377521612,0.0,0.0,347,1
Guido Casper,0.0,12.233904393478863,2.915400202634245,0.0851063829787234,0.0,2.765957446808511,0.0,0.0,47,1
Guillaume Nodet,0.0,11.148696388063875,4.101415527979193,0.5158227848101266,0.0,4.506329113924051,0.0,0.0,1264,1
Guillaume Sauthier,0.0,14.497023694565566,4.092019792074474,0.3728813559322034,0.0,6.576271186440678,0.0,0.0,59,1
Gunther Hagleitner,0.0,13.095033746907665,4.001606705494122,0.0,0.0,7.816425120772947,0.0,0.0,207,1
Göktürk Gezer,0.0,23.35,2.5,0.1,0.0,1.3,0.0,0.0,10,1
Hans Gilde,0.0,17.708333333333332,5.861111111111112,0.3333333333333333,0.0,1.3333333333333333,0.0,0.0,12,1
Harish Butani,0.0,13.527511471715785,5.128943902327138,0.0,0.0,14.652173913043478,0.0,0.0,46,1
Helder Miguel Alves Magalhães,0.0,7.204680504680503,4.888542938542939,0.0,0.0,15.047619047619047,0.0,0.0,21,1
Helma Van Der Linden,0.0,15.671875,3.0729166666666665,0.0,0.0,2.6875,0.0,0.0,32,1
Henning Schmiedehausen,0.0,15.737418300653594,5.158986928104575,0.08823529411764706,0.0,2.2058823529411766,0.0,0.0,34,2
Henri Biestro,0.0,11.497382591893166,4.958618716056183,1.2931726907630523,0.0,4.170682730923695,0.0,0.0,498,2
Henri Yandell,0.0,9.713413477765444,4.736450641910261,0.24934839270199827,0.0,5.9244135534317985,0.0,0.0,1151,21
Henry Robinson,0.0,14.973992673992674,2.5615384615384613,0.2692307692307692,0.0,5.346153846153846,0.0,0.0,26,1
Hiram R. Chirino,0.0,22.5,10.166666666666666,0.0,0.0,1.1666666666666667,0.0,0.0,6,1
Hongchao Deng,0.0,4.995,2.358095238095238,0.3,0.0,3.6,0.0,0.0,10,1
Humberto Cervantes Maceda,0.0,25.359090909090906,0.2,0.0,0.0,4.5,0.0,0.0,4,1
Ignacio J. Ortega,0.0,10.5,3.0,0.0,0.0,2.0,0.0,0.0,1,1
James Duncan Davidson,0.0,3.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,3,1
James Mitchell,0.0,6.75,3.25,0.0,0.0,1.0,0.0,0.0,4,2
James Strachan,0.0,16.178592947931175,3.898365774398785,0.35093167701863354,0.0,4.746894409937888,0.0,0.012422360248447204,644,10
James Turner,0.0,14.90151515151515,6.979545454545455,0.13636363636363635,0.0,1.6363636363636365,0.0,0.0,22,1
James W. Carman,0.0,12.203186274509804,2.496078431372549,0.058823529411764705,0.0,6.294117647058823,0.0,0.0,17,3
James Wang,0.0,14.90151515151515,5.511363636363637,0.0,0.0,2.090909090909091,0.0,0.0,11,1
Jamie Mark Goodyear,0.0,21.900000000000002,0.7333333333333334,10.666666666666666,0.0,4.333333333333333,0.0,0.0,3,1
Jan Luehe,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1
Jan Willem Janssen,0.0,11.443009586010314,5.744370421958098,0.7796610169491526,0.0,5.559322033898305,0.0,0.0,177,1
Jasha Joachimsthal,0.0,8.38888888888889,1.8333333333333333,0.0,0.0,2.4166666666666665,0.0,0.0,12,1
Jason Dere,0.0,12.245670995670997,3.12987012987013,0.0,0.0,4.363636363636363,0.0,0.0,11,1
Jason Johnston,0.0,5.584615384615384,0.7807692307692308,0.07692307692307693,0.0,1.6923076923076923,0.0,0.0,13,1
Jason van Zyl,0.0,10.720571258454754,2.910100993522408,0.0,0.0,4.135416666666667,0.0,0.0,192,12
Javier Puerto,0.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1
Jean-Baptiste Onofré,0.0,3.8125,2.4375,0.0,0.0,1.125,0.0,0.0,8,1
Jean-Baptiste Quenot,0.0,20.38506656804734,5.143408354466047,0.07692307692307693,0.0,4.269230769230769,0.0,0.0,52,1
Jean-Frederic Clere,0.0,9.378787878787879,1.969114219114219,0.006993006993006993,0.0,1.3846153846153846,0.0,0.0,143,2
